Downloaded URL,Size in Bytes,No of outlinks,ContentType
https://www.nytimes.com/,1048576,207,text/html
https://www.nytimes.com/section/magazine,422702,70,text/html
https://www.nytimes.com/section/food,794322,92,text/html
https://www.nytimes.com/section/reader-center,816371,106,text/html
https://www.nytimes.com/section/style,776530,97,text/html
https://www.nytimes.com/2023/10/02/technology/ftx-sam-bankman-fried-trial.html,275701,135,text/html
https://www.nytimes.com/section/jobs,528656,61,text/html
https://www.nytimes.com/2023/10/08/opinion/christopher-columbus-puerto-rico.html,258066,138,text/html
https://www.nytimes.com/spotlight/what-to-watch,819494,110,text/html
https://www.nytimes.com/section/arts,589833,98,text/html
https://www.nytimes.com/2023/10/07/world/europe/russia-nuclear-threat-putin.html,282019,124,text/html
https://www.nytimes.com/2023/10/06/realestate/wedding-married-at-home.html,294767,123,text/html
https://www.nytimes.com/international/,1048576,154,text/html
https://www.nytimes.com/account,45359,8,text/html
https://www.nytimes.com/gift-articles,69560,32,text/html
https://www.nytimes.com/2023/10/03/opinion/teenage-twins-coming-of-age.html,245243,121,text/html
https://www.nytimes.com/2023/10/07/opinion/wnba-liberty-championship.html,268871,122,text/html
https://www.nytimes.com/video,470802,51,text/html
https://www.nytimes.com/2023/10/06/briefing/the-weekender.html,277163,123,text/html
https://www.nytimes.com/sitemap/,120840,208,text/html
https://www.nytimes.com/2023/10/08/us/politics/biden-trump-third-parties-no-labels.html,298269,146,text/html
https://www.nytimes.com/section/theater,692567,81,text/html
https://www.nytimes.com/section/world,1048576,123,text/html
https://www.nytimes.com/section/parenting,707860,79,text/html
https://www.nytimes.com/2023/10/07/opinion/israel-hamas-attack-friedman.html,282675,128,text/html
https://www.nytimes.com/section/obituaries,649802,99,text/html
https://www.nytimes.com/games/wordle/index.html,61093,22,text/html
https://www.nytimes.com/live/2023/10/08/world/israel-gaza-attack-hamas-news,1048576,193,text/html
https://www.nytimes.com/2023/10/08/opinion/international-world/israel-hamas-attack.html,247931,119,text/html
https://www.nytimes.com/newsletters,67190,32,text/html
https://www.nytimes.com/section/politics,797190,66,text/html
https://www.nytimes.com/section/health,828492,111,text/html
https://www.nytimes.com/puzzles/spelling-bee,87145,45,text/html
https://www.nytimes.com/spotlight/nyt-events,561159,69,text/html
https://www.nytimes.com/section/realestate,670782,106,text/html
https://www.nytimes.com/privacy/cookie-policy,93427,40,text/html
https://www.nytimes.com/section/arts/design,576249,78,text/html
https://www.nytimes.com/2023/10/07/opinion/new-york-migrant-crisis.html,267042,134,text/html
https://www.nytimes.com/spotlight/podcasts,1048576,174,text/html
https://www.nytimes.com/2023/10/08/opinion/aging-feinstein-biden-trump.html,277420,130,text/html
https://www.nytimes.com/section/automobiles,616769,83,text/html
https://www.nytimes.com/wirecutter/,615929,787,text/html
https://www.nytimes.com/2023/10/08/us/jackson-ga-stranger-things-hollywood-strike.html,263255,118,text/html
https://www.nytimes.com/vi-assets/static-assets/apple-touch-icon-28865b72953380a40aa43318108876cb.png,3148,0,image/png
https://www.nytimes.com/section/nyregion,804997,79,text/html
https://www.nytimes.com/interactive/2023/10/08/magazine/errol-morris-interview.html,293035,132,text/html
https://www.nytimes.com/section/opinion,553160,98,text/html
https://www.nytimes.com/wirecutter/blog/cheap-things-to-bring-leaf-peeping/,405514,678,text/html
https://www.nytimes.com/2023/10/04/technology/sam-bankman-fried-ftx-trial.html,283158,132,text/html
https://www.nytimes.com/by/michelle-cottle,457025,55,text/html
https://www.nytimes.com/crosswords/apps,80665,49,text/html
https://www.nytimes.com/puzzles/spelling-bee/hub,92078,52,text/html
https://www.nytimes.com/games-assets/v2/metadata/lb-apple-touch-icon.png?v=v2410051249,5028,0,image/png
https://www.nytimes.com/subscription/games?campaignId=4QHQ8,81377,24,text/html
https://www.nytimes.com/privacy/your-privacy-choices,72458,26,text/html
https://www.nytimes.com/games-assets/v2/metadata/lb-safari-pinned-tab.svg?v=v2410051249,6185,0,image/svg+xml
https://www.nytimes.com/column/wordplay,422545,65,text/html
https://www.nytimes.com/subscription/games/gift,35305,12,text/html
https://www.nytimes.com/subscription/games?campaignId=9W9LL,81383,24,text/html
https://www.nytimes.com/puzzles/tiles,696640,58,text/html
https://www.nytimes.com/puzzles/stats,86298,49,text/html
https://www.nytimes.com/puzzles/vertex,141283,43,text/html
https://www.nytimes.com/puzzles/sudoku,85579,56,text/html
https://www.nytimes.com/spotlight/spelling-bee-forum,270624,55,text/html
https://www.nytimes.com/crosswords/game/daily,75548,46,text/html
https://www.nytimes.com/2023/10/05/arts/design/otobong-nkanga-nasher-prize-for-sculpture.html,239351,119,text/html
https://www.nytimes.com/2023/10/05/arts/design/delcy-morelos-dia-chelsea.html,263485,115,text/html
https://www.nytimes.com/2023/10/04/pageoneplus/corrections-oct-5-2023.html,207116,118,text/html
https://www.nytimes.com/2023/10/06/pageoneplus/corrections-oct-6-2023.html,207064,118,text/html
https://www.nytimes.com/2023/10/05/t-magazine/victoria-hely-hutchinson-photography.html,298010,123,text/html
https://www.nytimes.com/2023/10/08/pageoneplus/editors-note-oct-8-2023.html,214462,121,text/html
https://www.nytimes.com/2023/10/05/technology/chip-makers-china-lobbying.html,298645,125,text/html
https://www.nytimes.com/ca/section/corrections,596131,60,text/html
https://www.nytimes.com/2023/10/05/realestate/housing-market-near-nyc.html,479573,124,text/html
https://www.nytimes.com/2023/10/07/pageoneplus/corrections-oct-7-2023.html,202631,115,text/html
https://www.nytimes.com/2023/10/05/travel/machu-picchu-peru-tourism.html,267911,127,text/html
https://www.nytimes.com/international/section/corrections,597218,60,text/html
https://www.nytimes.com/by/lindsay-crouse,289558,56,text/html
https://www.nytimes.com/by/bret-stephens,341075,57,text/html
https://www.nytimes.com/2023/09/30/upshot/congress-deaths-feinstein-longevity.html,264589,140,text/html
https://www.nytimes.com/2023/09/30/upshot/spelling-bee-words.html,268696,141,text/html
https://www.nytimes.com/newsletters/signup/UP,83406,34,text/html
https://www.nytimes.com/ca/section/upshot,672290,76,text/html
https://www.nytimes.com/international/section/upshot,673366,76,text/html
